,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na,geometry,lat_lon,adress,neighbourhood
0,t,moderate,t,1.0,37.76931,-122.43386,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,1.0,180.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.43386 37.76931),"37.76931,-122.43386","{'railway': 'Sunset Tunnel East Portal', 'road': 'Duboce Avenue', 'neighbourhood': 'Western Addition', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94143', 'country': 'United States', 'country_code': 'us'}",Western Addition
1,f,strict_14_with_grace_period,f,2.0,37.74511,-122.42102,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,Real Bed,30.0,111.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.42102 37.74511),"37.74511,-122.42102","{'house_number': '109;111', 'road': 'Tiffany Avenue', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94114', 'country': 'United States', 'country_code': 'us'}",
2,f,strict_14_with_grace_period,f,10.0,37.76669,-122.4525,Apartment,Private room,2.0,4.0,1.0,1.0,Real Bed,32.0,17.0,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.4525 37.76669),"37.76669,-122.4525","{'house_number': '484;486;488', 'road': 'Frederick Street', 'neighbourhood': 'Cole Valley', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94117', 'country': 'United States', 'country_code': 'us'}",Cole Valley
3,f,strict_14_with_grace_period,f,10.0,37.76487,-122.45183,Apartment,Private room,2.0,4.0,1.0,1.0,Real Bed,32.0,8.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.45183 37.76487),"37.76487,-122.45183","{'house_number': '170', 'road': 'Parnassus Avenue', 'neighbourhood': 'Cole Valley', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94117', 'country': 'United States', 'country_code': 'us'}",Cole Valley
4,f,strict_14_with_grace_period,f,2.0,37.77525,-122.43637,House,Entire home/apt,5.0,2022-05-01 00:00:00,2.0,2.0,Real Bed,7.0,27.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.43637 37.77525),"37.77525,-122.43637","{'house_number': '601', 'road': 'Scott Street', 'neighbourhood': 'Western Addition', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '95115', 'country': 'United States', 'country_code': 'us'}",Western Addition
5,f,moderate,f,1.0,37.78471,-122.44555,Apartment,Entire home/apt,6.0,1.0,2.0,3.0,Real Bed,2.0,31.0,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.44555 37.78471),"37.78471,-122.44555","{'house_number': '2742;2744', 'road': 'Sutter Street', 'neighbourhood': 'Western Addition', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94115', 'country': 'United States', 'country_code': 'us'}",Western Addition
6,t,strict_14_with_grace_period,t,2.0,37.75919,-122.42237,Condominium,Private room,3.0,1.0,1.0,2.0,Real Bed,1.0,647.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.42237 37.75919),"37.75919,-122.42237","{'emergency': 'Mission Playground', 'road': 'Cunningham Place', 'neighbourhood': 'Liberty Street Historic District', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94143', 'country': 'United States', 'country_code': 'us'}",Liberty Street Historic District
7,f,strict_14_with_grace_period,f,1.0,37.76259,-122.40543,House,Private room,2.0,1.0,1.0,1.0,Real Bed,1.0,453.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.40543 37.76259),"37.76259,-122.40543","{'road': 'James Lick Freeway', 'neighbourhood': 'Potrero Hill', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '90103', 'country': 'United States', 'country_code': 'us'}",Potrero Hill
8,t,moderate,f,1.0,37.75874,-122.41327,Apartment,Entire home/apt,6.0,1.0,2.0,3.0,Real Bed,3.0,320.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.41327 37.75874),"37.75874,-122.41327","{'house_number': '3225;3227', 'road': '20th Street', 'neighbourhood': 'Mission District', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '90103', 'country': 'United States', 'country_code': 'us'}",Mission District
9,f,strict_14_with_grace_period,f,44.0,37.77187,-122.43859,Apartment,Entire home/apt,3.0,1.0,3.0,3.0,Real Bed,30.0,37.0,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-122.43859 37.77187),"37.77187,-122.43859","{'house_number': '120', 'road': 'Broderick Street', 'neighbourhood': 'Western Addition', 'city': 'San Francisco', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '94115', 'country': 'United States', 'country_code': 'us'}",Western Addition
